INDNAICS,TOT_EMP,TOT_EMP_se,MED_TOT_INC_NAICS_q50,MED_TOT_INC_NAICS_q50_se,MED_WAGE_INC_NAICS_q50,MED_WAGE_INC_NAICS_q50_se,MED_TOT_INC_q50,MED_WAGE_INC_q50,MFG,MED_INC_DUMMY,MED_WAGE_DUMMY
54194,8019,546.2783631080404,26088.77551020408,1484.6395377660683,25e3,1595.0019570106579,4e4,36e3,0,0,0
5419Z,18325,829.6172611511889,45679.88888888889,2396,38038.5,1544.5159464645403,4e4,36e3,0,1,1
55,6055,422.96246878417,81808,4597.91117548012,77424,5271.114340898406,4e4,36e3,0,1,1
5613,43259,1546.122844407908,22386,912.25,20351,761.8089860409582,4e4,36e3,0,0,0
5614,22148,1152.264119028272,31616,1211.8537672400162,26938,1258.75,4e4,36e3,0,0,0
5615,9113,554.4122563580282,45e3,2042.0219759386473,40701,2322.4579186302253,4e4,36e3,0,1,1
5616,25795,963.511131227865,28e3,1311.9900500474978,24781.3,641.1843071878247,4e4,36e3,0,0,0
56173,33402,1281.3244710064662,22025,689.25,18970,681.4230065261854,4e4,36e3,0,0,0
5617Z,44577,1364.926719644685,20646,264.7752038889448,18958.476190476194,505.75,4e4,36e3,0,0,0
561M,14398,763.0536023111351,4e4,1780.5,38e3,1944.8499779837166,4e4,36e3,0,0,1
562,13361,830.7823120408859,5e4,2468.732530064437,47450.25,2634.75,4e4,36e3,0,1,1
6111,271438,3077.094010588562,45789,363.5,43e3,436.18967421461275,4e4,36e3,0,1,1
611M1,121450,1940.364282808772,40701,556.0009587426957,37043,695.5368778402335,4e4,36e3,0,1,1
611M2,4564,390.60465947041644,39485.333333333336,3295.5339313364275,37741.36842105263,3383.8330023664384,4e4,36e3,0,0,1
611M3,23766,835.272769818339,27031,1185.5,18970,1453.5,4e4,36e3,0,0,0
6211,43811,1138.9335362522258,42e3,1596.5172660325934,36131,864.4267755446654,4e4,36e3,0,1,1
6212,26723,1013.6857007968496,36631,1081.1943922324554,31504.714285714286,923.4300575390334,4e4,36e3,0,0,0
62131,5176,477.46319229863155,28332.568965517243,1585.160238273349,25293,2462.2897333114233,4e4,36e3,0,0,0
